title,price,storeName,rating,description
"NOKIA 105 KING 2019 GARANSI RESMI TAM - Hitam",Rp220.000,"Garden Cell Official",5,"Nokia 105 king #DS TA1174 2019 GARANSI RESMI NOKIA SATU THN RUSAK DI GANTI BARU- Layar 1,8 inch- Dual Sim- Pnyimpanan kontak sampai 2000- Led Torch- FM Radio- USB Micro Connector#nokia105KING#nokia105new#nokia105new2019#nokia105baru"
"Nokia 105 New (2019) Garansi Resmi - Biru",Rp220.000,Gudang-HP,4.9,"Ready Stock Black, Blue, Red *25 Maret 2021NETWORK Technology GSMSIM Dual SIM (Mini-SIM, dual stand-by)Size 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)MEMORY Card slot NoInternal 4MB 4MB RAMCAMERA NoBATTERY Removable Li-Ion 800 mAh battery"
"Nokia 105 King (2019) Garansi Resmi TAM",Rp221.000,"LJS OFFICIAL",4.9,"NETWORK TechnologyGSM 2G bands GSM 900 / 1800 - SIM1 & SIM2 (dual-SIM model only)GPRS NoEDGE NoLAUNCHBODY Dimensions 119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in)Weight 73 g (2.57 oz)SIM Dual SIM (Mini-SIM, dual stand-by)DISPLAYType TFT, 65K colorsSize 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)Resolution 120 x 160 pixels, 4:3 ratio (~113 ppi density)MEMORY Card slot NoPhonebook : YesCall records: YesInternal 4MB RAM 4MBCAMERA: NoSOUNDLoudspeaker : Yes3.5mm jack YesCOMMSWLAN: NoBluetooth: NoGPS: NoRadio : FM radioUSB microUSB 1.1 (charging only)FEATURESMessaging SMSBrowser NoGames YesJava NoBATTERYRemovable Li-Ion 800 mAh batteryStand-by Up to 619 hTalk time Up to 14 h 24 minMISC"
"NOKIA 105 NEO DUAL SIM GARANSI RESMI - PINX KING TAM",Rp223.000,"BukanKalengKaleng Shop",4.8,"100% Garansi resmi Nokia indonesia 1 tahun100% asli dan baruRESMI IMEI Sudah Terdaftar (cek Imei: http://kemenperin•go•id/imei/ ) Jadi saat hp diaktifkan/dipakai otomatis GARANSI Berlaku.Warna akan dikirim sesuai stock yang tersedia (black; blue)NETWORK TechnologyGSMSIM Dual SIM (Mini-SIM, dual stand-by)Size 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)MEMORY Card slot NoInternal 4MB 4MB RAMCAMERA NoBATTERY Removable Li-Ion 800 mAh battery"
"Xiaomi Official Redmi Note 9 6/128 GB Garansi Resmi Mi Smartphone - Forest Green",Rp2.499.000,"Xiaomi Official Store",4.9,"Ayo, Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMARKeunggulan:1. Kamera quad level hotshot 48MP2. Prosesor tangguh Helio G853. Pengisian daya cepat, baterai ultra besar4. Desain layar DotDisplay tanpa notch5. Lapisan nano tahan percikan di bagian belakang6. Dokumen scannerTersedia dalam warna:- Forest Green- Midnight Grey- Polar WhiteSpesifikasiRAM : 4/6GBMemory : 64/128GBJaringan : GSM / WCMA / LTEUkuran Layar : 6.53"""" FHD+ IPS DotDisplay (83.5% rasio bodi ke layar)Layar : Gorilla Glass 5 depan dan belakangResolusi Layar : 2340x1080, 19.5:9 Aspect RatioSistem Operasi: Android 10, MIUI 11Chipset: Helio G85 (12nm)CPU : Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)Kamera : 48MP + 8MP + 2MP + 2MP quad kamera belakangKamera Depan : 16MP in-display kamera selfie HDRVideo : 1080p @ 30fps, 720p @120fpsBaterai : 5,020mAh (typ) baterai berkapasitas besarPengisian Daya : Fast Charging hingga 18WUSB : 2.0, Type-C 1.0 konektor yang dapat dibalik3.5 Headphone Jack : YaWi-Fi : Wi-Fi 802.11 a/b/g/n/acSensor : Sensor sidik jari di bagian belakangDimensi : 162.3 x 77.2 x 8.9 mm, 199 g"
"Xiaomi Official Redmi 9 4/64 GB Garansi Resmi Mi Smartphone - Ocean Green",Rp1.798.000,"Xiaomi Official Store",4.9,"Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMAR8MP Lensa ultra wide-angle13MP lensa wide-angle2MP Sensor Depth5MP lensa makroPERLUAS WAWASAN ANDALayar Full HD Dot Drop Display 6.53""dengan resolusi 2340x1080 layar depan dilengkapi corning Gorila Glass 3 memastikan pengalaman visual yang mendalam dan memberikan pandangan yang jelas tentang dunia di sekitar Anda.LEBIH BANYAK KEUNGGULAN YANG DAPAT ANDA NIKMATIKinerja yang kuat & stabil dengan prosesor Helio G80, CPU Octa-Core Up To 2.0 GHz multitasking yang lancar dan pengalaman audiovisual dan game yang brilian. Peningkatan kinerja 107% dibandingkan dengan generasi sebelumnya.PENGISIAN DAYA CEPAT, BATERAI BESAR, TIDAK PERNAH TAKUT KEHABISAN DAYADengan kapasitas baterai 5020mAh seperti powerbank dan teknologi fast charging 18W, Anda dapat menghabiskan waktu untuk menonton film, bermain game, atau menelepon, memberikan daya tahan yang Anda butuhkan.TIGA PILIHAN WARNAPilih Sesuai GayamuCarbon Grey, Ocean Green, Sunset PurpleFitur detil yang membuat pengguna lebih nyaman:2+1 SIM SlotOS : Android 10 / MIUI 11Bluetooth 5.0Mikrofon dengan peredam suara bising3.5 mm Headphone jackIR remote untuk kontrol peralatan rumah andaKonektor USB type-C yang dapat dibalik"""" SpesifikasiRAM : 3GB / 4GBKapasitas Penyimpanan : 32GB / 64GBWarna : Carbon Grey, Ocean Green, Sunset PurpleTampilan Layar6.53"""" FHD + Dot Drop DisplayLayar Depan Gorilla Glass 32340x1080, 1500:1 Color Contrast RatioPerformaChipset: Mediatek Helio G80CPU : Octa-core CPU, up to 2.0 GHzLPDDR4X RAM, eMMC 5.1 storageKameraKamera Belakang : 8MP Lensa ultra wide-angle 13MP lensa wide-angle 2MP Sensor Depth 5MP lensa makro8MP selfie cameraBateraiBattery: 5020mAh (typ) mendukung pengisian cepat 18WKonektivitasUSB : Type-CSIM : 2+1 SIM SlotOS System: Android 10, MIUI 11Jaringan : GSM / WCDMA / LTE Dual 4G Standby"
"Nokia 105 King (2019) Garansi Resmi TAM - Hitam",Rp221.000,"Senjaya Selindo",4.9,"NETWORK TechnologyGSM 2G bands GSM 900 / 1800 - SIM1 & SIM2 (dual-SIM model only)GPRS NoEDGE NoLAUNCHBODY Dimensions 119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in)Weight 73 g (2.57 oz)SIM Dual SIM (Mini-SIM, dual stand-by)DISPLAYType TFT, 65K colorsSize 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)Resolution 120 x 160 pixels, 4:3 ratio (~113 ppi density)MEMORY Card slot NoPhonebook : YesCall records: YesInternal 4MB RAM 4MBCAMERA: NoSOUNDLoudspeaker : Yes3.5mm jack YesCOMMSWLAN: NoBluetooth: NoGPS: NoRadio : FM radioUSB microUSB 1.1 (charging only)FEATURESMessaging SMSBrowser NoGames YesJava NoBATTERYRemovable Li-Ion 800 mAh batteryStand-by Up to 619 hTalk time Up to 14 h 24 minMISC"
"SAMSUNG GALAXY J2 PRIME SM-G532G/DS 1.5GB/8GB GARANSI RESMI - Putih",Rp1.999.000,"Humaira Online",4.9,"PRODUK YANG DIJUAL DAN DIKIRIMKAN ADALAH BARU (BNIB), SEGEL DAN WRAPPING ASLI SEIN, JIKA ADA KENDALA MAKA SILAKAN CLAIM LANGSUNG KE SERVICE CENTER SAMSUNG.SILAKAN ORDER SESUAI VARIAN WARNA APABILA MEMILIH WARNA ""RANDOM"" PEMBELI TIDAK BISA MEMILIH VARIAN WARNA YANG DIINGINKAN.Fitur utama dari Samsung Galaxy J2 Prime:- Processor Quad Core A53 1.4Ghz- Sophisticated & sleek design- Dual Camera 8 MP & 5 MP with Flash- Ultra Data Saving- 4G LTE- Android Marshmallow- Dual SIMSpesifikasi:- Display : 5 inch qHD TFT LCD- Processor : Quad Core A53 1.4Ghz- OS : Android Marshmallow- Kamera : 8 MP Rear Camera (f2.2) with Flash & 5 MP Front Camera (f2.2) with Flash- RAM : 1.5 GB- Memory Internal : 8 GB MicroSD Up to 128GB- Sensors Accelerometer, proximity- WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot- Bluetooth v4.2, A2DP, LE- GPS with A-GPS- Radio FM radio, RDS, recording- USB microUSB v2.0, USB On-The-Go- Sound : Alert types Vibration; MP3, WAV ringtones Loudspeaker 3.5mm jack- Battery : 2,600 mAH- Dimension : 144.8 x 72.1 x 8.7"
"Xiaomi Redmi Note 9 4/64 GB Garansi Resmi - Hijau",Rp2.102.000,Gudang-HP,4.9,"Ready Stok Red, Green, Black *14 April 2021Tambahan extra bubble dan kardushttps://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packingSIM Dual SIM (Nano-SIM, dual stand-by)Size 6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio)PLATFORM OS Android 10, MIUI 11Chipset MediaTek Helio G85 (12nm)CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)GPU Mali-G52 MC2Internal 64GB 4GB RAMMAIN CAMERA Quad 48 MP, 8 MP, 2 MP,2 MP, SELFIE CAMERA Single 13 MP, BATTERY Non-removable Li-Po 5020 mAh batteryCharging Fast charging 18W"
"Samsung Galaxy J2 Prime Garansi Resmi 1 Tahun - SECOND LENGKAP",Rp999.000,"JKT Official Store",4.9,"ADA SECOND KOMPLITE(AMAN) GRESSREADY STOCK TERBATAS(Garansi 1 Minggu)Samsung J2 Prime, Baru 100%Garansi resmi SEIN 1 TahunSegel Ori ~ Plastik Samsung ~ No PenyokReady: Black - Gold - Silver (Random)Selagi Masih Iklan Ready ya Bosku""Gojek grab Dari Jam 11.00 - 17.00Jnt Jne Sampai Jam 20.00Siap Luncur TKPJgn lupa Bintang & Smile ya Bosku.SABTU MINGGU TETAP GASS....Paketan Akan Dikirim Sesuai AntrianMohon Sabar ya MenungguTersedia All Tipe Ready - Anti Gores Kaca - glas kaca 5D - Full layar https://tokopedia.link/riKONN5I2V Beli Softcase Hp / Silicon Hp / Pelindung Hp / Kesing Hp All Tipe https://tokopedia.link/fAm9SJZJ2V Beli Bubble Wrap For Safety Packaging / Perlindungan Tambahan Paking Aman https://tokopedia.link/eWHyya4TfW Spesifikasi :Dual SIMSupport 4G LTECPU : Quad Core 1,4GhZLayar TFT LCD 5inc (540x960 pixels) Internal : 8 GBRAM :1,5 GBMicro SD : up to 250GBKamera utama : 8MP, autofocus, LED FlashKamera depan : 5MP, LED FlashBaterai : 2600mAh"
"Xiaomi Official Redmi Note 9 Pro 8/128 GB Garansi Resmi Mi Smartphone - Glacier White",Rp3.699.000,"Xiaomi Official Store",4.9,"Ayo! Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMARDeskripsi XiaoMi Redmi Note 9 Pro [8GB + 128GB/Garansi offical]Xiaomi Redmi Note 9 Pro 8 / 128 GBKeunggulan: 1. Kamera quad level flagship dengan detail yang brilian 2. Qualcomm® Snapdragon™ 720G 3. Pengisian daya cepat,waktu standby lama 4. Desain simetris, gaya flagship 5. Sensor sidik jari yang dipasang di samping 6. Genggaman yang nyaman, unlock super cepat Spesifikasi RAM : 8GB Internal memori : 128GBJaringan : GSM / WCDMA / LTE Ukuran Layar: 6.67"" FHD+ IPS DotDisplay Layar : Corning®️ Gorilla®️ Glass 5 depan dan belakang Resolusi Layar : 2400x1080, aspek layar 19.5:9 Sistem Operasi: Android 10, MIUI 11 Chipset: Qualcomm®️ Snapdragon™️ 720G (8nm) CPU : Qualcomm®️ Kryo™️ 465 CPU, Octa-core CPU Kamera Utama: 64MP + 8MP + 5MP + 2MP quad kamera Kamera Depan : 16MP kamera selfie in-display Video : 4K @ 30fps, 1080p @ 30/60/120fps, 720p @ 960fps Baterai : 5,020mAh (typ) Pengisian Daya : Pengisian cepat hingga 30W USB : 2.0, Type-C 1.0 reversible connector 3.5 Headphone Jack : Ya NFC : Ya Wi-Fi : Wi-Fi 802.11 a/b/g/n/ac Tersedia dalam warna:Tropical Green - Glacier White - Interstellar Grey --bluewarna green design sepsialKind reminder: The interstellar grey color having a gradient to the blue color, it is with slight hint of blue.Dimensi : 165.8 x 76.7 x 8.8 mm, 209 g"
"XIAOMI REDMI 9A RAM 2/32 GB - 3/32 GB GARANSI RESMI - Abu-abu, 2GB 32GB",Rp1.165.000,HokiHP,4.9,"READY STOK XIAOMI REDMI 9A RAM 2GB 32 GB - 3GB 32 GB Garansi Resmi Xiaomi IndonesiaIMEI terdaftar2GB 32GB ~ Ram 2 GB Internal 32 GB3GB 32 GB ~ Ram 3 GB Internal 32 GB NETWORK Technology GSM / HSPA / LTELAUNCH Announced 2020, June 30Status Available. Released 2020, July 07BODY Dimensions 164.9 x 77 x 9 mm (6.49 x 3.03 x 0.35 in)Weight 196 g (6.91 oz)SIM Dual SIM (Nano-SIM, dual stand-by)DISPLAY Type IPS LCD capacitive touchscreen, 16M colorsSize 6.53 inches, 102.9 cm2 (~81.1% screen-to-body ratio)Resolution 720 x 1600 pixels, 20:9 ratio (~269 ppi density) 400 nits typ. brightness (advertised)PLATFORM OS Android 10, MIUI 12Chipset MediaTek Helio G25 (12 nm)CPU Octa-core 2.0 GHz Cortex-A53GPU PowerVR GE8320MEMORY Card slot microSDXC (dedicated slot)Internal 32GB 2GB RAM eMMC 5.1MAIN CAMERA Single 13 MP, f/2.2, 28mm (wide), PDAFFeatures LED flash, HDRVideo 1080p@30/60fpsSELFIE CAMERA Single 5 MP, f/2.2, (wide), 1.12µmFeatures HDRVideo 1080p@30fpsSOUND Loudspeaker Yes3.5mm jack YesCOMMS WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspotBluetooth 5.0, A2DP, LEGPS Yes, with A-GPS, GLONASS, BDSRadio FM radioUSB microUSB 2.0, USB On-The-GoFEATURES Sensors Accelerometer, proximityBATTERY Li-Po 5000 mAh, non-removableCharging Charging 10W"
"Samsung Galaxy A01 Core 1/16 GB Garansi Resmi SEIN - Biru",Rp904.000,Gudang-HP,4.9,"Ready Stock Black, Blue *14 April 2021SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)Size 5.3 inches, 71.3 cm2 (~74.5% screen-to-body ratio)PLATFORM OS Android 10 (Go edition)Chipset Mediatek MT6739WW (28 nm)CPU Quad-core 1.5 GHz Cortex-A53GPU PowerVR GE8100Internal 16GB 1GB RAMMAIN CAMERA Single 8 MP, f/2.2, AFSELFIE CAMERA Single 5 MP, f/2.4BATTERY Li-Ion 3000 mAh battery"
"Xiaomi Official Redmi Note 9 Pro 6/64 GB Garansi Resmi Mi Smartphone - Tropical Green",Rp3.295.000,"Xiaomi Official Store",4.9,"Ayo! Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMARXiaomi Redmi Note 9 Pro 6 / 64 GBKeunggulan:1. Kamera quad level flagship dengan detail yang brilian2. Qualcomm® Snapdragon™ 720G3. Pengisian daya cepat,waktu standby lama4. Desain simetris, gaya flagship5. Sensor sidik jari yang dipasang di samping6. Genggaman yang nyaman, unlock super cepat7. Mode KaleidoskopTersedia dalam warna:- Aurora Blue- Glacier White- Interstellar GreyKind reminder: The interstellar grey color having a gradient to the blue color, it is with slight hint of blue.SpesifikasiRAM : 6GB Internal memori : 64GB Jaringan : GSM / WCDMA / LTE Ukuran Layar: 6.67"" FHD+ IPS DotDisplay Layar : Corning®️ Gorilla®️ Glass 5 depan dan belakang Resolusi Layar : 2400x1080, aspek layar 19.5:9 Sistem Operasi: Android 10, MIUI 11 Chipset: Qualcomm®️ Snapdragon™️ 720G (8nm) CPU : Qualcomm®️ Kryo™️ 465 CPU, Octa-core CPU Kamera Utama: 64MP + 8MP + 5MP + 2MP quad kamera Kamera Depan : 16MP kamera selfie in-display Video : 4K @ 30fps, 1080p @ 30/60/120fps, 720p @ 960fps Baterai : 5,020mAh (typ) Pengisian Daya : Pengisian cepat hingga 30W USB : 2.0, Type-C 1.0 reversible connector 3.5 Headphone Jack : Ya NFC : Ya Wi-Fi : Wi-Fi 802.11 a/b/g/n/ac Sensor : Sidik jari di samping (Tombol Daya) Dimensi : 165.8 x 76.7 x 8.8 mm, 209 g"
"Samsung A01 Core 2/32 GB Garansi Resmi SEIN - Merah",Rp1.046.000,Gudang-HP,4.9,"Ready Stok Black *14 April 2021 SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)Size 5.3 inches, 71.3 cm2 (~74.5% screen-to-body ratio)PLATFORM OS Android 10 (Go edition)Chipset Mediatek MT6739WW (28 nm)CPU Quad-core 1.5 GHz Cortex-A53GPU PowerVR GE8100Internal 32GB 2GB RAMMAIN CAMERA Single 8 MP, f/2.2, AFSELFIE CAMERA Single 5 MP, f/2.4BATTERY Li-Ion 3000 mAh battery"
"Redmi Note 9 4/64 & 6/128 GB Garansi Resmi - 4GB 64GB, BLACK",Rp2.099.000,duniagadgetku,4.9,"Unit New BNIBSegel pabrikanNo repackGaransi Resmi Xiaomi IndonesiaImei terdaftarLink Note 9 pro https://www.tokopedia.com/duniagadgetku/xiaomi-redmi-note-9-pro-6-64-8-128-gb-garansi-resmiNETWORK Technology GSM / HSPA / LTELAUNCH Announced 2020, April 30Status Available. Released 2020, May 12BODY Dimensions 162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in)Weight 199 g (7.02 oz)Build Glass front (Gorilla Glass 5), plastic frameSIM Dual SIM (Nano-SIM, dual stand-by) Splash-proof coatingDISPLAY Type IPS LCD capacitive touchscreen, 16M colorsSize 6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio)Resolution 1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)Protection Corning Gorilla Glass 5 450 nits typ. brightness (advertised)PLATFORM OS Android 10, MIUI 11Chipset MediaTek Helio G85 (12nm)CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)GPU Mali-G52 MC2MEMORY Card slot microSDXC (dedicated slot)Internal 64GB 4GB RAM, 128GB 6GB RAMMAIN CAMERA Quad 48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro), AF2 MP, f/2.4, (depth)Features LED flash, HDR, panoramaVideo 1080p@30fpsSELFIE CAMERA Single 13 MP, f/2.3, 29mm (standard), 1/3.1"", 1.12µmFeatures HDR, panoramaVideo 1080p@30fpsSOUND Loudspeaker Yes3.5mm jack YesCOMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth 5.0, A2DP, LEGPS Yes, with A-GPS, GLONASS, GALILEO, BDSM2003J15SG (Yes); M2003J15SS (No)Infrared port YesRadio UnspecifiedUSB 2.0, Type-C 1.0 reversible connectorFEATURES Sensors Fingerprint (rear-mounted), accelerometer, gyro, proximity, compassBATTERY Non-removable Li-Po 5020 mAh battery"
"Poco X3 NFC 6/64 & 8/128 GB Garansi Resmi IMEI Terdaftar - [6/64] Grey",Rp2.999.000,duniagadgetku,5,"Garansi Resmi Xiaomi Indonesia IMEI TerdaftarReady kirim6GB 64GB ~ Ram 6 Gb Internal 64 Gb8GB 128 GB ~ Ram 8 Gb Interal 128 GbNETWORK Technology GSM / HSPA / LTELAUNCH Announced 2020, September 07Status Available. Released 2020, September 08BODY Dimensions 165.3 x 76.8 x 9.4 mm (6.51 x 3.02 x 0.37 in)Weight 215 g (7.58 oz)Build Glass front (Gorilla Glass 5), aluminum frame, plastic backSIM Hybrid Dual SIM (Nano-SIM, dual stand-by) IP53 splash-proofDISPLAY Type IPS LCD, 120Hz, HDR10, 450 nits (typ)Size 6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)Resolution 1080 x 2400 pixels, 20:9 ratio (~395 ppi density)Protection Corning Gorilla Glass 5PLATFORM OS Android 10, MIUI 12Chipset Qualcomm SM7150-AC Snapdragon 732G (8 nm)CPU Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)GPU Adreno 618MEMORY Card slot microSDXC (uses shared SIM slot)Internal 64GB 6GB RAM, 128GB 6GB RAM UFS 2.1MAIN CAMERA Quad 64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF13 MP, f/2.2, 119˚ (ultrawide), 1.0µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)Features Dual-LED flash, HDR, panoramaVideo 4K@30fps, 1080p@30/120fps, 720p@960fps; gyro-EISSELFIE CAMERA Single 20 MP, f/2.2, (wide), 1/3.4"", 0.8µmFeatures HDR, panoramaVideo 1080p@30fpsSOUND Loudspeaker Yes, with stereo speakers3.5mm jack Yes 24-bit/192kHz audioCOMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth 5.1, A2DP, LEGPS Yes, with A-GPS, GLONASS, BDSNFC YesInfrared port YesRadio FM radio, recordingUSB USB Type-C 2.0, USB On-The-GoFEATURES Sensors Fingerprint (side-mounted), accelerometer, gyro, proximity, compassBATTERY Type Li-Po 5160 mAh, non-removableCharging Fast charging 33W, 62% in 30 min, 100% in 65 min (advertised)"
